id,lesson_id,type,question,order,audio_src
54,18,SELECT,"Artículo 199 Comete espionaje el militar o el extranjero que, sin estar autorizado, se introduce en fortificaciones, campamentos, o buques de guerra, con el fin de:",18,
55,18,SELECT,"Artículo 200 El espionaje es castigado con prisión de cinco a veinte años, salvo si es cometido por un militar en tiempo de guerra, en cuyo caso la pena será de:",19,
56,18,SELECT,"Artículo 201 ¿Qué constituye el delito de revelación de secretos en el ámbito militar, según el Artículo 201?",20,
57,19,SELECT,Artículo 202 El militar que revele secretos de guerra o de la defensa nacional será castigado con:,21,
58,19,SELECT,"Artículo 203 El militar que, sin revelar un secreto de guerra o de la defensa nacional, cause daño a la Nación por negligencia, imprudencia, impericia o falta de reflexión en el manejo de documentos clasificados, se castigará con:",22,
59,19,SELECT,"Artículo 204 Comete delito el militar que celebra una capitulación o armisticio, sin estar autorizado o excediéndose de sus facultades, si en consecuencia de ello:",23,
60,19,SELECT,"Artículo 205 El militar que celebra una capitulación o armisticio sin autorización o con exceso de facultades, causando daño a la Nación, será castigado con:",24,
61,19,SELECT,Artículo 206 Comete un delito contra la seguridad exterior de la Nación el militar que abandona el puesto que se le haya encomendado:,25,
62,19,SELECT,Artículo 207 El militar que abandona su puesto para pasarse al enemigo será castigado con:,26,
63,19,SELECT,"Artículo 208 El militar que provoque o intente provocar un conflicto internacional de cualquier manera, será castigado con:",27,
64,19,SELECT,Artículo 209 Cometen el delito de Rebelión los militares que:,28,
65,19,SELECT,"Artículo 210 El militar que intente, promueva o sostenga la rebelión será castigado con la pena de:",29,
66,19,SELECT,"Artículo 211 Si la rebelión llega a consumarse y se somete al Gobierno por propia voluntad, sin haber causado daño ni derramamiento de sangre, la pena señalada se:",30,
67,20,SELECT,Artículo 212 ¿Qué condición debe cumplirse para que la pena por rebelión se reduzca a la mitad?,31,
68,20,SELECT,"Artículo 213 En el delito de Rebelión, se considera que la pena de prisión es agravada y debe imponerse al máximo si:",32,
69,20,SELECT,"Artículo 214 Cometen el delito de Sedición los militares que, fuera de los casos de rebelión, se levanten en armas:",33,
70,20,SELECT,Artículo 215 ¿Cuál es la sanción para los militares que cometen el delito de Sedición?,34,
71,20,SELECT,"Artículo 216 Si la Sedición se lleva a cabo por el acuerdo de una tropa, ¿quiénes serán castigados con la pena de prisión aumentada de un tercio a la mitad?",35,
72,20,SELECT,Artículo 217 La pena por Sedición se reducirá a la mitad si el sedicioso:,36,
73,20,SELECT,Artículo 250 Comete el delito de Insubordinación el militar que:,37,
74,20,SELECT,Artículo 251 ¿Cuál es la sanción impuesta por el delito de Insubordinación sin el uso de fuerza o amenaza?,38,
75,20,SELECT,Artículo 252 El delito de Insubordinación es castigado con prisión de tres a seis años cuando el militar:,39,
76,20,SELECT,"Artículo 253 Si el militar, además de ser insubordinado, hace uso de las armas contra su superior, ¿cuál es la pena impuesta?",40,
77,21,SELECT,"Artículo 260 Comete el delito de Abuso de Autoridad el superior que maltrate de obra o de palabra a un inferior, o que cometa algún acto arbitrario. La pena impuesta es:",41,
78,21,SELECT,"Artículo 261 La pena por Abuso de Autoridad se agrava, imponiéndose prisión de dos a tres años, si el superior:",42,
79,21,SELECT,"Artículo 262 Si el superior que comete Abuso de Autoridad causa al inferior alguna lesión (distinta de las previstas en el Título Vigésimo Primero), la pena impuesta será la que corresponde al abuso, más la pena del delito de lesiones, la cual:",43,
80,21,SELECT,"Artículo 263 El superior que, valiéndose de su jerarquía, exija, pida o reciba de un inferior parte de sus haberes o de alguna otra retribución, será castigado con la pena de:",44,
81,21,SELECT,Artículo 264 Comete el delito de Desobediencia el militar que:,45,
82,21,SELECT,"Artículo 265 La Desobediencia, cuando el servicio no está armado, es castigada con la pena de:",46,
83,21,SELECT,"Artículo 266 Si la Desobediencia ocurre estando el servicio armado, la pena de prisión se aumenta a:",47,
84,21,SELECT,"Artículo 267 Si la Desobediencia ocurre frente al enemigo, o en campaña, o con tropas que estén o deban estar en acción de armas, ¿cuál es la sanción impuesta?",48,
85,21,SELECT,Artículo 277 Comete el delito de ultrajes a la Bandera o Escudo de la Nación el militar que:,49,
86,21,SELECT,Artículo 278 El militar que cometa el delito de ultrajes a la Bandera o Escudo de la Nación será castigado con:,50,
87,22,SELECT,Artículo 283 Comete el delito de Abandono de servicio el centinela o el individuo de guardia que:,51,
88,22,SELECT,Artículo 284 ¿Cuál es la sanción para el centinela que comete Abandono de servicio en tiempo de paz?,52,
89,22,SELECT,"Artículo 285 Si el abandono de servicio por el centinela ocurre frente al enemigo, o en campaña, o con tropas que estén o deban estar en acción de armas, ¿cuál es la pena impuesta?",53,
90,22,SELECT,"Artículo 287 Comete el delito de Abandono de servicio el comandante de guardia, retén o patrulla que:",54,
91,22,SELECT,"Artículo 289 Comete el delito de Uso indebido de uniformes, divisas o condecoraciones el militar que:",55,
92,22,SELECT,"Artículo 290 El delito de uso indebido de uniformes, divisas, o condecoraciones se castiga con:",56,
93,22,SELECT,"Artículo 291 Comete el delito de uso indebido de documentos militares el militar que, entre otros:",57,
94,22,SELECT,Artículo 292 El delito de uso indebido de documentos militares se castiga con:,58,
95,22,SELECT,Artículo 293 Comete el delito de Infracción de deberes comunes el militar que:,59,
96,22,SELECT,"Artículo 294 Si la Infracción de deberes comunes causa la muerte de algún militar en combate, ¿cuál es la sanción impuesta?",60,
97,23,SELECT,"Artículo 295 Comete el delito de Infracción de deberes el centinela o vigilante que, sin incurrir en Abandono de servicio:",61,
98,23,SELECT,"Artículo 296 La infracción de los deberes de centinela, vigilante, serviola, tope y timonel será castigada con:",62,
99,23,SELECT,"Artículo 297 Si la infracción de los deberes mencionados en este Capítulo tiene lugar frente al enemigo, en campaña, o con tropas que deban estar en acción de armas, ¿cuál es la pena impuesta?",63,
100,23,SELECT,Artículo 307 Comete el delito de Infracción de deberes militares correspondientes a la comisión o empleo el militar que:,64,
101,23,SELECT,"Artículo 308 Si la infracción de deberes de comisión o empleo no constituye otro delito castigado especialmente, la sanción será:",65,
102,23,SELECT,Artículo 309 La sanción por infracción de deberes de comisión o empleo se agrava a prisión de seis meses a tres años si:,66,
103,23,SELECT,Artículo 319 Comete el delito contra el honor militar el militar que:,67,
104,23,SELECT,"Artículo 320 El militar que cometa el delito contra el honor militar por actos de inmoralidad, embriaguez o uso de narcóticos en recintos militares o portando uniforme, será castigado con:",68,
105,23,SELECT,"Artículo 321 Comete el delito contra el honor militar el militar que no cumple las obligaciones alimentarias impuestas por la autoridad civil, y la sanción es:",69,
